date,retail_index,flags,year,month,month_name,quarter,day_of_week,rolling_12m_avg,ema_12m,yoy_growth_pct,mom_growth_pct
1999-12-01,107.7,,1999,12,December,4,Wednesday,85.225,88.65404761538878,1.508011310084845,17.833698030634572
2000-01-01,79.5,,2000,1,January,1,Saturday,85.3,87.24573259763665,1.1450381679389388,-26.183844011142064
2000-02-01,77.1,,2000,2,February,1,Tuesday,85.45833333333333,85.6848506595387,2.5265957446808374,-3.0188679245283123
2000-03-01,88.2,,2000,3,March,1,Wednesday,85.49166666666667,86.07179671191736,0.4555808656036442,14.39688715953309
2000-04-01,87.0,,2000,4,April,2,Saturday,85.75833333333333,86.21459721777623,3.818615751789989,-1.3605442176870763
2000-05-01,87.3,,2000,5,May,2,Monday,86.05833333333334,86.38158226119526,4.3010752688172005,0.3448275862068861
2000-06-01,82.1,,2000,6,June,2,Thursday,86.19999999999999,85.72287729793446,2.1144278606965106,-5.95647193585338
2000-07-01,85.5,,2000,7,July,3,Saturday,86.39166666666667,85.68858848286763,2.764423076923084,4.141291108404399
2000-08-01,82.7,,2000,8,August,3,Tuesday,86.48333333333333,85.22880563934953,1.348039215686292,-3.274853801169586
2000-09-01,84.8,,2000,9,September,3,Friday,86.80833333333334,85.16283554098806,4.820766378244734,2.539298669891177
2000-10-01,90.2,,2000,10,October,4,Sunday,86.95833333333333,85.93778391929759,2.036199095022617,6.367924528301905
2000-11-01,92.9,,2000,11,November,4,Wednesday,87.08333333333333,87.00889408555949,1.641137855579866,2.9933481152993435
2000-12-01,109.3,,2000,12,December,4,Friday,87.21666666666668,90.4382949954734,1.485608170844932,17.65339074273411
2001-01-01,82.3,,2001,1,January,1,Monday,87.45,89.18624961155442,3.5220125786163514,-24.70265324794144
2001-02-01,77.3,,2001,2,February,1,Thursday,87.46666666666665,87.35759582516143,0.2594033722438382,-6.075334143377886
2001-03-01,90.4,,2001,3,March,1,Thursday,87.64999999999999,87.82565800590582,2.494331065759648,16.946959896507117
2001-04-01,88.4,,2001,4,April,2,Sunday,87.76666666666667,87.91401831268954,1.6091954022988464,-2.212389380530977
2001-05-01,88.8,,2001,5,May,2,Tuesday,87.89166666666667,88.05032318766038,1.718213058419238,0.4524886877828038
2001-06-01,84.3,,2001,6,June,2,Friday,88.075,87.47335038955879,2.679658952496955,-5.067567567567566
